chapter,median_income,urbanization_percentage
Akron,59447.5,73.66499528
Alachua County,49896,37.77068453
Albuquerque,50769,99.34598152
Amarillo,57817,81.09778192
Asheville,53319.5,44.81373297
Athens Area,51085.5,20.98618669
Atlanta,55924,53.10135754
Austin,64024,57.68129811
Bartholomew County,62394.5,25.92100025
Baton Rouge,54750,44.02959418
Berks,69063,52.25887002
Big Island,59937,12.10046972
Billings,57083.5,8.61806473
Binghamton,56018,40.72327923
Birmingham,51871,46.61532694
Bloomington Indiana,52555,49.75179403
Boise,60516.5,90.1739494
Boulder,85130,58.65004706
Bozeman,57024.5,26.1562044
Brainerd Lakes Area,52560.5,4.851449248
Broward County,61470,99.98249571
Buffalo,58957,58.48574579
Capital District,63378,31.88457682
Cedar Rapids,74000,44.58895811
Central Arkansas,54498,37.02027886
Central Coast California,71849.5,53.45025346
Central Indiana,58461.5,29.26365556
Central Iowa,68750,32.33054165
Central Sierra Foothills,73432,35.82432698
Centre County,51458,21.43530521
Champaign-Urbana,65234,31.11905488
Charleston,45761,37.15946349
Charlotte Metro,61454,70.34707062
Charlottesville,63988,11.62122663
Chattanooga,52048,54.60533175
Chicago,64784.5,99.97389194
Cleveland,59519,74.71116702
Colorado Springs,60674,51.92167364
Columbia,44307,28.64560248
Columbus,64896,48.95654319
Corpus Christi,49823,74.2548512
Coulee Region,57001.5,16.99362823
Dayton-Miami Valley,60414,52.73490894
Delaware,66631,64.56060418
Denver,75772,96.95296445
East Bay,96493,90.62980678
El Chuco,39537.5,92.61051812
Erie,54002,30.9713708
Eugene-Springfield,55735,33.8099742
Fort Collins,72704.5,72.58655017
Fort Smith,43794,26.44171618
Fort Wayne,60674.5,29.39087276
Fort Worth,67962,98.04575745
Frederick,80875,43.9066369
Fresno,47524,54.27206722
Grand Rapids,57382.5,30.68308182
Greater Baltimore,98337,61.61074757
Greater Flint,49943,64.89907565
Greater Lafayette,58047,46.58484769
Greater Lansing,63416,44.62162715
Green Bay,70218,43.28707887
Helena,58435,13.3810681
